269,428,249,135
187,276,177,293
356,263,253,218
281,480,285,98
305,346,49,133
274,27,104,254
191,420,167,61
352,333,201,110
24,126,255,218
135,205,105,67
62,388,92,12
228,120,130,173
8,305,280,161
218,227,63,101
278,485,176,202
253,362,277,212
172,22,36,134
164,534,226,250
375,257,32,293
206,137,247,19
339,395,184,179
356,461,50,120
153,322,154,209
65,349,300,189
83,355,289,238
4,293,132,93
248,354,244,81
376,265,158,125
95,261,242,46
93,517,199,188
273,446,104,253
6,182,26,73
22,31,55,256
328,115,143,304
20,415,112,233
372,492,268,96
375,66,208,187
253,487,324,102
360,20,48,138
196,278,40,33
48,407,180,254
328,537,318,36
239,208,164,252
152,198,124,41
130,358,298,199
12,165,238,97
294,375,78,79
34,249,264,194
383,174,264,71
8,121,194,296
